1,Тип двигателя,
2,Тип кузова,
3,Тип привода,
4,Коробка передач,
5,Безопасность,
6,Комфорт,
7,Мультимедиа,
8,Обзор,
9,Салон,
10,Бензин,1
11,Дизель,1
12,Гибрид,1
13,Электро,1
14,Газовое оборудование,1
15,Седан,2
16,Хэтчбэк,2
17,Хэтчбэк 3 дв.,16
18,Хэтчбэк 5 дв.,16
19,Лифтбэк,16
20,Внедорожник,2
21,Универсал,2
22,Купе,2
23,Минивэн,2
24,Пикап,2
25,Фургон,2
26,Кабриолте,2
27,Передний,3
28,Задний,3
29,Полный,3
30,Автоматическая,4
31,Механическая,4
32,Антиблокировочная система (ABS),5
33,Система курсовой стабилизации (ESP),5
34,Антипробуксовочная система,5
35,Круиз-контроль,6
36,Бортовой компьютер,6
37,Климат,6
38,Неважно,37
39,Кондиционер,37
40,Климат-контроль,37
41,Регулировка руля,6
42,Неважно,41
43,Механическая,41
44,Электропривод,41
45,Аудиосистема,7
46,Навигационная система,7
47,Датчик дождя,8
48,Датчик света,8
49,Электропривод зеркал,8
50,Материал,9
51,Неважно,50
52,Ткань,50
53,Велюр,50
54,Кожа,50
55,Комбинированный,50
56,Подогрев руля,9
57,Обогрев сидений,9
58,Понорамная крыша,9
